figure_file,case_id,figure_type,variable,source_file,caption
cylinder_m010_laminar_re20_residuals.png,cylinder_m010_laminar_re20,residual_history,residual_l2,cylinder_m010_laminar_re20/residuals.csv,Residual convergence history (total $L_2$ norm and per-equation component norms) for case cylinder_m010_laminar_re20.
cylinder_m010_laminar_re20_forces.png,cylinder_m010_laminar_re20,force_history,force_coefficients_cl_cd,cylinder_m010_laminar_re20/forces.csv,Lift and drag coefficient history versus iteration step for case cylinder_m010_laminar_re20.
cylinder_m010_laminar_re20_cp.png,cylinder_m010_laminar_re20,surface_line,surface_pressure_coefficient_cp,cylinder_m010_laminar_re20/surface.csv,Surface pressure coefficient $C_p$ along the cylinder wall for case cylinder_m010_laminar_re20.
cylinder_m010_laminar_re20_cf.png,cylinder_m010_laminar_re20,surface_line,skin_friction_coefficient_cf,cylinder_m010_laminar_re20/surface.csv,Wall skin-friction coefficient $C_f$ along the cylinder surface for case cylinder_m010_laminar_re20.
cylinder_m010_laminar_re20_mach.png,cylinder_m010_laminar_re20,field_contour,mach,cylinder_m010_laminar_re20/field_final.vtu,"Mach number field for case cylinder_m010_laminar_re20, filled contours on the unstructured mesh."
cylinder_m010_laminar_re20_mach_farfield.png,cylinder_m010_laminar_re20,field_contour,mach,cylinder_m010_laminar_re20/field_final.vtu,"Mach number field, whole domain for case cylinder_m010_laminar_re20, filled contours on the unstructured mesh."
cylinder_m010_laminar_re20_pressure.png,cylinder_m010_laminar_re20,field_contour,pressure,cylinder_m010_laminar_re20/field_final.vtu,"Pressure field for case cylinder_m010_laminar_re20, filled contours on the unstructured mesh."
cylinder_m010_laminar_re20_velocity.png,cylinder_m010_laminar_re20,field_contour,velocity_magnitude,cylinder_m010_laminar_re20/field_final.vtu,"Velocity magnitude field for case cylinder_m010_laminar_re20, filled contours on the unstructured mesh."
cylinder_m010_laminar_re20_vorticity.png,cylinder_m010_laminar_re20,field_contour,vorticity,cylinder_m010_laminar_re20/field_final.vtu,"Vorticity field for case cylinder_m010_laminar_re20, filled contours on the unstructured mesh."
cylinder_m010_laminar_re200_residuals.png,cylinder_m010_laminar_re200,residual_history,residual_l2,cylinder_m010_laminar_re200/residuals.csv,Residual convergence history (total $L_2$ norm and per-equation component norms) for case cylinder_m010_laminar_re200.
cylinder_m010_laminar_re200_forces.png,cylinder_m010_laminar_re200,force_history,force_coefficients_cl_cd,cylinder_m010_laminar_re200/forces.csv,Lift and drag coefficient history versus physical time for case cylinder_m010_laminar_re200.
cylinder_m010_laminar_re200_spectrum.png,cylinder_m010_laminar_re200,spectrum,lift_coefficient_spectrum,cylinder_m010_laminar_re200/forces.csv,"Amplitude spectrum of the post-transient lift coefficient fluctuation for case cylinder_m010_laminar_re200; dominant shedding frequency f = 0.2281, Strouhal number St = 0.2281."
naca0012_m015_inviscid_residuals.png,naca0012_m015_inviscid,residual_history,residual_l2,naca0012_m015_inviscid/residuals.csv,Residual convergence history (total $L_2$ norm and per-equation component norms) for case naca0012_m015_inviscid.
naca0012_m015_inviscid_forces.png,naca0012_m015_inviscid,force_history,force_coefficients_cl_cd,naca0012_m015_inviscid/forces.csv,Lift and drag coefficient history versus iteration step for case naca0012_m015_inviscid.
naca0012_m015_inviscid_cp.png,naca0012_m015_inviscid,surface_line,surface_pressure_coefficient_cp,naca0012_m015_inviscid/surface.csv,Surface pressure coefficient $C_p$ along the airfoil wall for case naca0012_m015_inviscid.
naca0012_m015_inviscid_mach.png,naca0012_m015_inviscid,field_contour,mach,naca0012_m015_inviscid/field_final.vtu,"Mach number field for case naca0012_m015_inviscid, filled contours on the unstructured mesh."
naca0012_m015_inviscid_mach_farfield.png,naca0012_m015_inviscid,field_contour,mach,naca0012_m015_inviscid/field_final.vtu,"Mach number field, whole domain for case naca0012_m015_inviscid, filled contours on the unstructured mesh."
naca0012_m015_inviscid_pressure.png,naca0012_m015_inviscid,field_contour,pressure,naca0012_m015_inviscid/field_final.vtu,"Pressure field for case naca0012_m015_inviscid, filled contours on the unstructured mesh."
naca0012_m015_inviscid_velocity.png,naca0012_m015_inviscid,field_contour,velocity_magnitude,naca0012_m015_inviscid/field_final.vtu,"Velocity magnitude field for case naca0012_m015_inviscid, filled contours on the unstructured mesh."
naca0012_m015_inviscid_vorticity.png,naca0012_m015_inviscid,field_contour,vorticity,naca0012_m015_inviscid/field_final.vtu,"Vorticity field for case naca0012_m015_inviscid, filled contours on the unstructured mesh."
naca0012_m015_laminar_re5000_residuals.png,naca0012_m015_laminar_re5000,residual_history,residual_l2,naca0012_m015_laminar_re5000/residuals.csv,Residual convergence history (total $L_2$ norm and per-equation component norms) for case naca0012_m015_laminar_re5000.
naca0012_m015_laminar_re5000_forces.png,naca0012_m015_laminar_re5000,force_history,force_coefficients_cl_cd,naca0012_m015_laminar_re5000/forces.csv,Lift and drag coefficient history versus iteration step for case naca0012_m015_laminar_re5000.
naca0012_m015_laminar_re5000_cp.png,naca0012_m015_laminar_re5000,surface_line,surface_pressure_coefficient_cp,naca0012_m015_laminar_re5000/surface.csv,Surface pressure coefficient $C_p$ along the airfoil wall for case naca0012_m015_laminar_re5000.
naca0012_m015_laminar_re5000_cf.png,naca0012_m015_laminar_re5000,surface_line,skin_friction_coefficient_cf,naca0012_m015_laminar_re5000/surface.csv,Wall skin-friction coefficient $C_f$ along the airfoil surface for case naca0012_m015_laminar_re5000.
naca0012_m015_laminar_re5000_mach.png,naca0012_m015_laminar_re5000,field_contour,mach,naca0012_m015_laminar_re5000/field_final.vtu,"Mach number field for case naca0012_m015_laminar_re5000, filled contours on the unstructured mesh."
naca0012_m015_laminar_re5000_mach_farfield.png,naca0012_m015_laminar_re5000,field_contour,mach,naca0012_m015_laminar_re5000/field_final.vtu,"Mach number field, whole domain for case naca0012_m015_laminar_re5000, filled contours on the unstructured mesh."
naca0012_m015_laminar_re5000_pressure.png,naca0012_m015_laminar_re5000,field_contour,pressure,naca0012_m015_laminar_re5000/field_final.vtu,"Pressure field for case naca0012_m015_laminar_re5000, filled contours on the unstructured mesh."
naca0012_m015_laminar_re5000_velocity.png,naca0012_m015_laminar_re5000,field_contour,velocity_magnitude,naca0012_m015_laminar_re5000/field_final.vtu,"Velocity magnitude field for case naca0012_m015_laminar_re5000, filled contours on the unstructured mesh."
naca0012_m015_laminar_re5000_vorticity.png,naca0012_m015_laminar_re5000,field_contour,vorticity,naca0012_m015_laminar_re5000/field_final.vtu,"Vorticity field for case naca0012_m015_laminar_re5000, filled contours on the unstructured mesh."
naca0012_m080_inviscid_residuals.png,naca0012_m080_inviscid,residual_history,residual_l2,naca0012_m080_inviscid/residuals.csv,Residual convergence history (total $L_2$ norm and per-equation component norms) for case naca0012_m080_inviscid.
naca0012_m080_inviscid_forces.png,naca0012_m080_inviscid,force_history,force_coefficients_cl_cd,naca0012_m080_inviscid/forces.csv,Lift and drag coefficient history versus iteration step for case naca0012_m080_inviscid.
naca0012_m080_inviscid_cp.png,naca0012_m080_inviscid,surface_line,surface_pressure_coefficient_cp,naca0012_m080_inviscid/surface.csv,Surface pressure coefficient $C_p$ along the airfoil wall for case naca0012_m080_inviscid.
naca0012_m080_inviscid_mach.png,naca0012_m080_inviscid,field_contour,mach,naca0012_m080_inviscid/field_final.vtu,"Mach number field for case naca0012_m080_inviscid, filled contours on the unstructured mesh."
naca0012_m080_inviscid_mach_farfield.png,naca0012_m080_inviscid,field_contour,mach,naca0012_m080_inviscid/field_final.vtu,"Mach number field, whole domain for case naca0012_m080_inviscid, filled contours on the unstructured mesh."
naca0012_m080_inviscid_pressure.png,naca0012_m080_inviscid,field_contour,pressure,naca0012_m080_inviscid/field_final.vtu,"Pressure field for case naca0012_m080_inviscid, filled contours on the unstructured mesh."
naca0012_m080_inviscid_velocity.png,naca0012_m080_inviscid,field_contour,velocity_magnitude,naca0012_m080_inviscid/field_final.vtu,"Velocity magnitude field for case naca0012_m080_inviscid, filled contours on the unstructured mesh."
naca0012_m080_inviscid_vorticity.png,naca0012_m080_inviscid,field_contour,vorticity,naca0012_m080_inviscid/field_final.vtu,"Vorticity field for case naca0012_m080_inviscid, filled contours on the unstructured mesh."
naca0012_m080_laminar_re5000_residuals.png,naca0012_m080_laminar_re5000,residual_history,residual_l2,naca0012_m080_laminar_re5000/residuals.csv,Residual convergence history (total $L_2$ norm and per-equation component norms) for case naca0012_m080_laminar_re5000.
naca0012_m080_laminar_re5000_forces.png,naca0012_m080_laminar_re5000,force_history,force_coefficients_cl_cd,naca0012_m080_laminar_re5000/forces.csv,Lift and drag coefficient history versus iteration step for case naca0012_m080_laminar_re5000.
naca0012_m080_laminar_re5000_cp.png,naca0012_m080_laminar_re5000,surface_line,surface_pressure_coefficient_cp,naca0012_m080_laminar_re5000/surface.csv,Surface pressure coefficient $C_p$ along the airfoil wall for case naca0012_m080_laminar_re5000.
naca0012_m080_laminar_re5000_cf.png,naca0012_m080_laminar_re5000,surface_line,skin_friction_coefficient_cf,naca0012_m080_laminar_re5000/surface.csv,Wall skin-friction coefficient $C_f$ along the airfoil surface for case naca0012_m080_laminar_re5000.
naca0012_m080_laminar_re5000_mach.png,naca0012_m080_laminar_re5000,field_contour,mach,naca0012_m080_laminar_re5000/field_final.vtu,"Mach number field for case naca0012_m080_laminar_re5000, filled contours on the unstructured mesh."
naca0012_m080_laminar_re5000_mach_farfield.png,naca0012_m080_laminar_re5000,field_contour,mach,naca0012_m080_laminar_re5000/field_final.vtu,"Mach number field, whole domain for case naca0012_m080_laminar_re5000, filled contours on the unstructured mesh."
