step,physical_time,inner_iter,cfl,dt,rho,rhou,rhov,rhoE,residual_l2,residual_linf
1,0,6,1,0,0.0137702,0.0151478,0.0196778,0.0606748,0.0606748,0.00517938
2,0,6,1.033,0,0.00997261,0.00981009,0.0129286,0.044198,0.044198,0.00366879
3,0,6,1.066,0,0.00801128,0.00740027,0.00974822,0.0355838,0.0355838,0.00284762
4,0,6,1.099,0,0.00692399,0.00622207,0.00820245,0.0307774,0.0307774,0.00225936
5,0,6,1.132,0,0.00625397,0.00556931,0.00736559,0.0277985,0.0277985,0.00181341
6,0,6,1.165,0,0.00579854,0.00515734,0.00684243,0.025764,0.025764,0.00157899
7,0,7,1.198,0,0.00546535,0.00486812,0.00647215,0.0242716,0.0242716,0.00147239
8,0,7,1.231,0,0.00520522,0.00464519,0.00618276,0.0231063,0.0231063,0.00133441
9,0,7,1.264,0,0.00499645,0.00446543,0.00594718,0.0221722,0.0221722,0.00123235
10,0,7,1.297,0,0.00482403,0.00431473,0.00574913,0.0214025,0.0214025,0.00120952
11,0,7,1.33,0,0.00467835,0.004185,0.00557904,0.0207535,0.0207535,0.00114878
12,0,7,1.363,0,0.00455298,0.00407131,0.0054307,0.0201958,0.0201958,0.00108022
13,0,7,1.396,0,0.00444348,0.00397046,0.00529985,0.0197092,0.0197092,0.00107947
14,0,7,1.429,0,0.00434672,0.00388024,0.00518339,0.0192792,0.0192792,0.00104105
15,0,7,1.462,0,0.00426047,0.00379904,0.00507901,0.0188956,0.0188956,0.00100191
16,0,7,1.495,0,0.00418308,0.00372561,0.00498501,0.0185511,0.0185511,0.00100259
17,0,7,1.528,0,0.00411335,0.00365903,0.00490005,0.0182402,0.0182402,0.000965433
18,0,8,1.561,0,0.00405037,0.00359857,0.00482317,0.0179589,0.0179589,0.000956684
19,0,8,1.594,0,0.00399169,0.00354213,0.00475148,0.0176965,0.0176965,0.000946565
20,0,8,1.627,0,0.00393873,0.00349097,0.00468673,0.0174591,0.0174591,0.000909412
21,0,8,1.66,0,0.00389113,0.00344482,0.00462856,0.0172453,0.0172453,0.000920503
22,0,8,1.693,0,0.00384866,0.00340356,0.00457677,0.017054,0.017054,0.000892669
23,0,8,1.726,0,0.0038112,0.00336713,0.00453127,0.0168846,0.0168846,0.000893866
24,0,8,1.759,0,0.00377871,0.00333554,0.00449206,0.0167371,0.0167371,0.000881521
25,0,8,1.792,0,0.00375124,0.00330889,0.00445925,0.0166115,0.0166115,0.000869411
26,0,8,1.825,0,0.00372888,0.00328729,0.004433,0.0165083,0.0165083,0.000868569
27,0,8,1.858,0,0.00371174,0.0032709,0.00441349,0.0164279,0.0164279,0.000848335
28,0,9,1.891,0,0.00369994,0.00325983,0.00440091,0.0163707,0.0163707,0.000855721
