step,physical_time,cl,cd,cmz,pressure_drag,viscous_drag,pressure_lift,viscous_lift
1,0.000000000000e+00,1.073021671516e-10,1.569524274515e+02,-7.793232725817e-11,0.000000000000e+00,1.569524274515e+02,0.000000000000e+00,1.073021671516e-10
2,0.000000000000e+00,-9.144977054815e-06,1.301096518866e+02,9.226902953685e-06,1.307278009751e+00,1.288023738768e+02,-5.227983051748e-07,-8.622178749640e-06
3,0.000000000000e+00,-1.401042648025e-05,1.099640833435e+02,1.422228154979e-05,2.447525890776e+00,1.075165574527e+02,-8.472609666632e-07,-1.316316551359e-05
4,0.000000000000e+00,-1.630831138100e-05,9.469076402101e+01,1.671407986592e-05,3.415488064735e+00,9.127527595628e+01,-1.049954924448e-06,-1.525835645655e-05
5,0.000000000000e+00,-1.709266247404e-05,8.300058696741e+01,1.772042494608e-05,4.240015661722e+00,7.876057130569e+01,-1.187213175963e-06,-1.590544929808e-05
6,0.000000000000e+00,-1.700821755810e-05,7.396364192392e+01,1.787158442568e-05,4.950022879522e+00,6.901361904439e+01,-1.288277882566e-06,-1.571993967553e-05
7,0.000000000000e+00,-1.645604404527e-05,6.690404526879e+01,1.755998985686e-05,5.569713395098e+00,6.133433187369e+01,-1.356325237734e-06,-1.509971880753e-05
8,0.000000000000e+00,-1.569674036822e-05,6.133076701075e+01,1.701266148402e-05,6.121293061463e+00,5.520947394929e+01,-1.431425452003e-06,-1.426531491622e-05
9,0.000000000000e+00,-1.484298928792e-05,5.688099129635e+01,1.636834394780e-05,6.618742777552e+00,5.026224851880e+01,-1.487546623019e-06,-1.335544266490e-05
10,0.000000000000e+00,-1.400064716905e-05,5.328749058902e+01,1.570825521036e-05,7.073088122850e+00,4.621440246617e+01,-1.549313891513e-06,-1.245133327754e-05
11,0.000000000000e+00,-1.320856928097e-05,5.035270885774e+01,1.507420749647e-05,7.493421616059e+00,4.285928724168e+01,-1.613897156999e-06,-1.159467212397e-05
12,0.000000000000e+00,-1.248866908882e-05,4.792853814898e+01,1.448517122959e-05,7.885885280779e+00,4.004265286820e+01,-1.683128084295e-06,-1.080554100452e-05
13,0.000000000000e+00,-1.185645059579e-05,4.590329106699e+01,1.394721014947e-05,8.254595638343e+00,3.764869542865e+01,-1.766882744919e-06,-1.008956785087e-05
14,0.000000000000e+00,-1.129673069200e-05,4.419278010181e+01,1.346080667908e-05,8.602858375377e+00,3.558992172643e+01,-1.850660037328e-06,-9.446070654673e-06
15,0.000000000000e+00,-1.080296214645e-05,4.273340873067e+01,1.302216245058e-05,8.933655867217e+00,3.379975286345e+01,-1.933048196456e-06,-8.869913949994e-06
16,0.000000000000e+00,-1.037029875026e-05,4.147627211774e+01,1.262534870072e-05,9.249103696815e+00,3.222716842092e+01,-2.016021783374e-06,-8.354276966882e-06
17,0.000000000000e+00,-9.990309444652e-06,4.038366221753e+01,1.226463014881e-05,9.550905639928e+00,3.083275657760e+01,-2.098592863320e-06,-7.891716581332e-06
18,0.000000000000e+00,-9.657751532471e-06,3.942628841307e+01,1.193459168825e-05,9.840477998840e+00,2.958581041423e+01,-2.182429808512e-06,-7.475321723960e-06
19,0.000000000000e+00,-9.370294871608e-06,3.858136451494e+01,1.163068655075e-05,1.011918688201e+01,2.846217763293e+01,-2.271183853014e-06,-7.099111018594e-06
20,0.000000000000e+00,-9.112032928249e-06,3.783089782016e+01,1.134859510010e-05,1.038819973881e+01,2.744269808136e+01,-2.355006198773e-06,-6.757026729476e-06
21,0.000000000000e+00,-8.884377287910e-06,3.716043663489e+01,1.108549363948e-05,1.064839346660e+01,2.651204316829e+01,-2.439161279122e-06,-6.445216008788e-06
22,0.000000000000e+00,-8.681145379413e-06,3.655831022678e+01,1.083724136741e-05,1.090048175377e+01,2.565782847301e+01,-2.523426982454e-06,-6.157718396960e-06
23,0.000000000000e+00,-8.503541534352e-06,3.601502336309e+01,1.060255411733e-05,1.114507110173e+01,2.486995226136e+01,-2.610577456916e-06,-5.892964077436e-06
24,0.000000000000e+00,-8.339244610439e-06,3.552278375870e+01,1.037948077087e-05,1.138268656124e+01,2.414009719746e+01,-2.692148386024e-06,-5.647096224415e-06
25,0.000000000000e+00,-8.194336593867e-06,3.507514934529e+01,1.016631839157e-05,1.161379722390e+01,2.346135212139e+01,-2.776328159412e-06,-5.418008434455e-06
26,0.000000000000e+00,-8.062119434271e-06,3.466674326070e+01,9.962119301932e-06,1.183881818180e+01,2.282792507890e+01,-2.858375307169e-06,-5.203744127102e-06
27,0.000000000000e+00,-7.935266843381e-06,3.429304377226e+01,9.766153599600e-06,1.205812253950e+01,2.223492123276e+01,-2.932510471496e-06,-5.002756371886e-06
28,0.000000000000e+00,-7.823471760593e-06,3.395021933184e+01,9.577316810727e-06,1.227204740265e+01,2.167817192919e+01,-3.009954876676e-06,-4.813516883917e-06
29,0.000000000000e+00,-7.723208767463e-06,3.363500138420e+01,9.395146907565e-06,1.248090081660e+01,2.115410056759e+01,-3.088493641834e-06,-4.634715125629e-06
30,0.000000000000e+00,-7.630038024412e-06,3.334457848789e+01,9.219340798339e-06,1.268496108850e+01,2.065961739939e+01,-3.164711939577e-06,-4.465326084835e-06
31,0.000000000000e+00,-7.543260163959e-06,3.307652722585e+01,9.049527257332e-06,1.288449161466e+01,2.019203561119e+01,-3.238247239815e-06,-4.305012924144e-06
32,0.000000000000e+00,-7.451811271347e-06,3.282873545067e+01,8.885553818949e-06,1.307973012371e+01,1.974900532696e+01,-3.299253270556e-06,-4.152558000792e-06
33,0.000000000000e+00,-7.371473744480e-06,3.259936181313e+01,8.726638937695e-06,1.327090182459e+01,1.932845998854e+01,-3.364119807239e-06,-4.007353937241e-06
34,0.000000000000e+00,-7.295102097737e-06,3.238679850572e+01,8.572778242844e-06,1.345822518817e+01,1.892857331755e+01,-3.426133293960e-06,-3.868968803777e-06
35,0.000000000000e+00,-7.216370559254e-06,3.218963446732e+01,8.423950934144e-06,1.364191072230e+01,1.854772374502e+01,-3.479550447910e-06,-3.736820111344e-06
36,0.000000000000e+00,-7.138350653899e-06,3.200662764367e+01,8.279858306537e-06,1.382216230677e+01,1.818446533690e+01,-3.528045475751e-06,-3.610305178148e-06
37,0.000000000000e+00,-7.077388857121e-06,3.183668166580e+01,8.139834010379e-06,1.399917795873e+01,1.783750370707e+01,-3.588834608867e-06,-3.488554248254e-06
38,0.000000000000e+00,-7.027149135627e-06,3.167882427010e+01,8.003930719092e-06,1.417314824603e+01,1.750567602407e+01,-3.655588735205e-06,-3.371560400423e-06
39,0.000000000000e+00,-6.975496716091e-06,3.153218604416e+01,7.872149017096e-06,1.434425249857e+01,1.718793354559e+01,-3.716347931518e-06,-3.259148784573e-06
40,0.000000000000e+00,-6.928218471133e-06,3.139595789686e+01,7.744242948249e-06,1.451263016962e+01,1.688332772724e+01,-3.777194828400e-06,-3.151023642733e-06
41,0.000000000000e+00,-6.878447596406e-06,3.126940039352e+01,7.620309072642e-06,1.467840273428e+01,1.659099765924e+01,-3.831303157745e-06,-3.047144438661e-06
42,0.000000000000e+00,-6.831329466148e-06,3.115184690395e+01,7.500143069272e-06,1.484168633423e+01,1.631016056972e+01,-3.884093889669e-06,-2.947235576478e-06
43,0.000000000000e+00,-6.784916754030e-06,3.104268348062e+01,7.383606290823e-06,1.500258109653e+01,1.604010238409e+01,-3.934016526250e-06,-2.850900227780e-06
