step,physical_time,cl,cd,cmz,pressure_drag,viscous_drag,pressure_lift,viscous_lift
1,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
2,0.000000000000e+00,-2.993778393301e-07,6.401017933453e-02,4.478494900211e-08,6.401017933453e-02,0.000000000000e+00,-2.993778393301e-07,0.000000000000e+00
3,0.000000000000e+00,-4.148877500859e-07,1.135846160186e-01,7.818430480539e-08,1.135846160186e-01,0.000000000000e+00,-4.148877500859e-07,0.000000000000e+00
4,0.000000000000e+00,7.361073267945e-08,1.546190479227e-01,4.909008968861e-07,1.546190479227e-01,0.000000000000e+00,7.361073267945e-08,0.000000000000e+00
5,0.000000000000e+00,-2.162036526908e-07,1.874297861255e-01,2.569887191577e-07,1.874297861255e-01,0.000000000000e+00,-2.162036526908e-07,0.000000000000e+00
6,0.000000000000e+00,-1.063139361574e-06,2.119208589478e-01,-4.919191609035e-07,2.119208589478e-01,0.000000000000e+00,-1.063139361574e-06,0.000000000000e+00
7,0.000000000000e+00,-1.804397455985e-06,2.281988284320e-01,-1.244413600952e-06,2.281988284320e-01,0.000000000000e+00,-1.804397455985e-06,0.000000000000e+00
8,0.000000000000e+00,-1.590190980669e-06,2.369820894806e-01,-1.340666989616e-06,2.369820894806e-01,0.000000000000e+00,-1.590190980669e-06,0.000000000000e+00
9,0.000000000000e+00,-5.932475186524e-07,2.394626031324e-01,-8.144743127772e-07,2.394626031324e-01,0.000000000000e+00,-5.932475186524e-07,0.000000000000e+00
10,0.000000000000e+00,1.491647974019e-08,2.373268372421e-01,-4.979584208942e-07,2.373268372421e-01,0.000000000000e+00,1.491647974019e-08,0.000000000000e+00
11,0.000000000000e+00,1.691199782989e-07,2.323624178105e-01,-4.470376289627e-07,2.323624178105e-01,0.000000000000e+00,1.691199782989e-07,0.000000000000e+00
12,0.000000000000e+00,3.786417567418e-07,2.260432521930e-01,-3.013826089518e-07,2.260432521930e-01,0.000000000000e+00,3.786417567418e-07,0.000000000000e+00
13,0.000000000000e+00,4.507074575202e-07,2.191550505822e-01,-2.015187909848e-07,2.191550505822e-01,0.000000000000e+00,4.507074575202e-07,0.000000000000e+00
14,0.000000000000e+00,3.806057923214e-07,2.128158196640e-01,-1.208462724991e-07,2.128158196640e-01,0.000000000000e+00,3.806057923214e-07,0.000000000000e+00
15,0.000000000000e+00,2.781769194527e-07,2.079876066854e-01,-6.434085183843e-08,2.079876066854e-01,0.000000000000e+00,2.781769194527e-07,0.000000000000e+00
16,0.000000000000e+00,1.676207486622e-07,2.050163201766e-01,-2.858454608927e-08,2.050163201766e-01,0.000000000000e+00,1.676207486622e-07,0.000000000000e+00
17,0.000000000000e+00,6.414382005215e-08,2.038054820004e-01,-1.167988302343e-08,2.038054820004e-01,0.000000000000e+00,6.414382005215e-08,0.000000000000e+00
18,0.000000000000e+00,-8.110689797515e-09,2.039710884697e-01,1.521965928720e-09,2.039710884697e-01,0.000000000000e+00,-8.110689797515e-09,0.000000000000e+00
19,0.000000000000e+00,-5.980303027656e-08,2.050663301038e-01,3.197972351559e-09,2.050663301038e-01,0.000000000000e+00,-5.980303027656e-08,0.000000000000e+00
20,0.000000000000e+00,-1.009377430547e-07,2.066104140761e-01,-6.916251663394e-09,2.066104140761e-01,0.000000000000e+00,-1.009377430547e-07,0.000000000000e+00
21,0.000000000000e+00,-1.204334286716e-07,2.081337452154e-01,-1.509416430777e-08,2.081337452154e-01,0.000000000000e+00,-1.204334286716e-07,0.000000000000e+00
22,0.000000000000e+00,-1.258964709152e-07,2.093499270756e-01,-2.140706707103e-08,2.093499270756e-01,0.000000000000e+00,-1.258964709152e-07,0.000000000000e+00
23,0.000000000000e+00,-1.273422645903e-07,2.101156329736e-01,-2.721561406468e-08,2.101156329736e-01,0.000000000000e+00,-1.273422645903e-07,0.000000000000e+00
24,0.000000000000e+00,-1.312774072495e-07,2.104247029640e-01,-2.809340810634e-08,2.104247029640e-01,0.000000000000e+00,-1.312774072495e-07,0.000000000000e+00
25,0.000000000000e+00,-1.387604180436e-07,2.103620446750e-01,-2.612051412491e-08,2.103620446750e-01,0.000000000000e+00,-1.387604180436e-07,0.000000000000e+00
26,0.000000000000e+00,-1.480189761593e-07,2.100629433563e-01,-2.300942982610e-08,2.100629433563e-01,0.000000000000e+00,-1.480189761593e-07,0.000000000000e+00
27,0.000000000000e+00,-1.554505456981e-07,2.096597721829e-01,-1.970920269025e-08,2.096597721829e-01,0.000000000000e+00,-1.554505456981e-07,0.000000000000e+00
28,0.000000000000e+00,-1.577939571932e-07,2.092648741054e-01,-1.627708006444e-08,2.092648741054e-01,0.000000000000e+00,-1.577939571932e-07,0.000000000000e+00
29,0.000000000000e+00,-1.551804343393e-07,2.089474788717e-01,-1.340614801180e-08,2.089474788717e-01,0.000000000000e+00,-1.551804343393e-07,0.000000000000e+00
30,0.000000000000e+00,-1.477286130718e-07,2.087413457643e-01,-1.132608615988e-08,2.087413457643e-01,0.000000000000e+00,-1.477286130718e-07,0.000000000000e+00
31,0.000000000000e+00,-1.369205384506e-07,2.086433552946e-01,-1.085616059635e-08,2.086433552946e-01,0.000000000000e+00,-1.369205384506e-07,0.000000000000e+00
32,0.000000000000e+00,-1.251155073564e-07,2.086274330631e-01,-1.147370426121e-08,2.086274330631e-01,0.000000000000e+00,-1.251155073564e-07,0.000000000000e+00
33,0.000000000000e+00,-1.134254992987e-07,2.086600607574e-01,-1.285427150572e-08,2.086600607574e-01,0.000000000000e+00,-1.134254992987e-07,0.000000000000e+00
34,0.000000000000e+00,-1.023210925786e-07,2.087096426784e-01,-1.473656770982e-08,2.087096426784e-01,0.000000000000e+00,-1.023210925786e-07,0.000000000000e+00
35,0.000000000000e+00,-9.218477293690e-08,2.087534824695e-01,-1.691964743376e-08,2.087534824695e-01,0.000000000000e+00,-9.218477293690e-08,0.000000000000e+00
36,0.000000000000e+00,-8.266126996781e-08,2.087762625276e-01,-1.932175761553e-08,2.087762625276e-01,0.000000000000e+00,-8.266126996781e-08,0.000000000000e+00
37,0.000000000000e+00,-7.330782630151e-08,2.087713192516e-01,-2.205024586012e-08,2.087713192516e-01,0.000000000000e+00,-7.330782630151e-08,0.000000000000e+00
38,0.000000000000e+00,-6.404410061783e-08,2.087411597936e-01,-2.520689268209e-08,2.087411597936e-01,0.000000000000e+00,-6.404410061783e-08,0.000000000000e+00
39,0.000000000000e+00,-5.450687484395e-08,2.086921218855e-01,-2.878934007508e-08,2.086921218855e-01,0.000000000000e+00,-5.450687484395e-08,0.000000000000e+00
40,0.000000000000e+00,-4.501338209356e-08,2.086316536231e-01,-3.287155134982e-08,2.086316536231e-01,0.000000000000e+00,-4.501338209356e-08,0.000000000000e+00
41,0.000000000000e+00,-3.472336951521e-08,2.085660875358e-01,-3.626705692814e-08,2.085660875358e-01,0.000000000000e+00,-3.472336951521e-08,0.000000000000e+00
42,0.000000000000e+00,-2.542106790197e-08,2.084996253432e-01,-3.961484839905e-08,2.084996253432e-01,0.000000000000e+00,-2.542106790197e-08,0.000000000000e+00
43,0.000000000000e+00,-1.762684548171e-08,2.084345455882e-01,-4.261056067603e-08,2.084345455882e-01,0.000000000000e+00,-1.762684548171e-08,0.000000000000e+00
44,0.000000000000e+00,-1.209390168176e-08,2.083711532497e-01,-4.521586826570e-08,2.083711532497e-01,0.000000000000e+00,-1.209390168176e-08,0.000000000000e+00
45,0.000000000000e+00,-9.136838013610e-09,2.083087268761e-01,-4.727984203603e-08,2.083087268761e-01,0.000000000000e+00,-9.136838013610e-09,0.000000000000e+00
46,0.000000000000e+00,-8.805502937914e-09,2.082460615194e-01,-4.879448366885e-08,2.082460615194e-01,0.000000000000e+00,-8.805502937914e-09,0.000000000000e+00
47,0.000000000000e+00,-1.075617006813e-08,2.081818408839e-01,-4.980697346940e-08,2.081818408839e-01,0.000000000000e+00,-1.075617006813e-08,0.000000000000e+00
48,0.000000000000e+00,-1.464560845797e-08,2.081149112117e-01,-5.044472967445e-08,2.081149112117e-01,0.000000000000e+00,-1.464560845797e-08,0.000000000000e+00
49,0.000000000000e+00,-1.985322092509e-08,2.080443941516e-01,-5.089939985508e-08,2.080443941516e-01,0.000000000000e+00,-1.985322092509e-08,0.000000000000e+00
50,0.000000000000e+00,-2.571752561495e-08,2.079696944614e-01,-5.140675141103e-08,2.079696944614e-01,0.000000000000e+00,-2.571752561495e-08,0.000000000000e+00
51,0.000000000000e+00,-3.153956866031e-08,2.078904492397e-01,-5.212991503723e-08,2.078904492397e-01,0.000000000000e+00,-3.153956866031e-08,0.000000000000e+00
52,0.000000000000e+00,-3.678499608086e-08,2.078064568431e-01,-5.320767028361e-08,2.078064568431e-01,0.000000000000e+00,-3.678499608086e-08,0.000000000000e+00
53,0.000000000000e+00,-4.098194408440e-08,2.077176096348e-01,-5.460943885006e-08,2.077176096348e-01,0.000000000000e+00,-4.098194408440e-08,0.000000000000e+00
54,0.000000000000e+00,-4.381373641671e-08,2.076238392384e-01,-5.617378480015e-08,2.076238392384e-01,0.000000000000e+00,-4.381373641671e-08,0.000000000000e+00
55,0.000000000000e+00,-4.558750879460e-08,2.075251111261e-01,-5.798914084554e-08,2.075251111261e-01,0.000000000000e+00,-4.558750879460e-08,0.000000000000e+00
56,0.000000000000e+00,-4.659441689555e-08,2.074213930275e-01,-5.996793624044e-08,2.074213930275e-01,0.000000000000e+00,-4.659441689555e-08,0.000000000000e+00
57,0.000000000000e+00,-4.724920449448e-08,2.073126504507e-01,-6.202287204920e-08,2.073126504507e-01,0.000000000000e+00,-4.724920449448e-08,0.000000000000e+00
58,0.000000000000e+00,-4.809038085828e-08,2.071988424499e-01,-6.413550224650e-08,2.071988424499e-01,0.000000000000e+00,-4.809038085828e-08,0.000000000000e+00
59,0.000000000000e+00,-4.946923316948e-08,2.070799168709e-01,-6.618852776345e-08,2.070799168709e-01,0.000000000000e+00,-4.946923316948e-08,0.000000000000e+00
60,0.000000000000e+00,-5.143966968764e-08,2.069558052270e-01,-6.792374140853e-08,2.069558052270e-01,0.000000000000e+00,-5.143966968764e-08,0.000000000000e+00
61,0.000000000000e+00,-5.424543984681e-08,2.068264149398e-01,-6.931958439010e-08,2.068264149398e-01,0.000000000000e+00,-5.424543984681e-08,0.000000000000e+00
62,0.000000000000e+00,-5.790551929575e-08,2.066916259060e-01,-7.028325812943e-08,2.066916259060e-01,0.000000000000e+00,-5.790551929575e-08,0.000000000000e+00
63,0.000000000000e+00,-6.264659637334e-08,2.065512849521e-01,-7.096654863195e-08,2.065512849521e-01,0.000000000000e+00,-6.264659637334e-08,0.000000000000e+00
64,0.000000000000e+00,-6.825865001437e-08,2.064052048267e-01,-7.126236569962e-08,2.064052048267e-01,0.000000000000e+00,-6.825865001437e-08,0.000000000000e+00
