step,physical_time,cl,cd,cmz,pressure_drag,viscous_drag,pressure_lift,viscous_lift
1,0.000000000000e+00,3.155443620884e-30,-1.479114197289e-31,0.000000000000e+00,-1.479114197289e-31,0.000000000000e+00,3.155443620884e-30,0.000000000000e+00
2,0.000000000000e+00,3.364743891843e-08,2.967533323488e-01,3.271020332374e-08,2.967533323488e-01,0.000000000000e+00,3.364743891843e-08,0.000000000000e+00
3,0.000000000000e+00,-1.128777086856e-06,5.295398932387e-01,-9.088355069076e-07,5.295398932387e-01,0.000000000000e+00,-1.128777086856e-06,0.000000000000e+00
4,0.000000000000e+00,-4.571696867128e-06,7.059679180577e-01,-3.451299280421e-06,7.059679180577e-01,0.000000000000e+00,-4.571696867128e-06,0.000000000000e+00
5,0.000000000000e+00,-6.337830577241e-06,8.329434889350e-01,-4.872109490628e-06,8.329434889350e-01,0.000000000000e+00,-6.337830577241e-06,0.000000000000e+00
6,0.000000000000e+00,-5.336518421606e-06,9.179226947263e-01,-3.902938361444e-06,9.179226947263e-01,0.000000000000e+00,-5.336518421606e-06,0.000000000000e+00
7,0.000000000000e+00,-2.587798717979e-06,9.685617576091e-01,-2.023319398081e-06,9.685617576091e-01,0.000000000000e+00,-2.587798717979e-06,0.000000000000e+00
8,0.000000000000e+00,-3.289382877192e-07,9.923977703369e-01,-5.217947535163e-08,9.923977703369e-01,0.000000000000e+00,-3.289382877192e-07,0.000000000000e+00
9,0.000000000000e+00,-6.891121529073e-06,9.966950835085e-01,-5.105168813746e-06,9.966950835085e-01,0.000000000000e+00,-6.891121529073e-06,0.000000000000e+00
10,0.000000000000e+00,-1.804627764002e-06,9.872072688716e-01,-1.575300881851e-06,9.872072688716e-01,0.000000000000e+00,-1.804627764002e-06,0.000000000000e+00
11,0.000000000000e+00,-2.145982509472e-07,9.676272102921e-01,-4.131812983421e-07,9.676272102921e-01,0.000000000000e+00,-2.145982509472e-07,0.000000000000e+00
12,0.000000000000e+00,-3.862934753185e-07,9.446066338097e-01,-3.929354144283e-07,9.446066338097e-01,0.000000000000e+00,-3.862934753185e-07,0.000000000000e+00
13,0.000000000000e+00,4.097845680562e-07,9.238633290299e-01,2.114185437829e-07,9.238633290299e-01,0.000000000000e+00,4.097845680562e-07,0.000000000000e+00
14,0.000000000000e+00,6.481232042166e-07,9.085833338396e-01,4.220457293092e-07,9.085833338396e-01,0.000000000000e+00,6.481232042166e-07,0.000000000000e+00
15,0.000000000000e+00,4.859631161924e-07,9.000738536608e-01,3.537257164954e-07,9.000738536608e-01,0.000000000000e+00,4.859631161924e-07,0.000000000000e+00
16,0.000000000000e+00,3.775917384319e-07,8.977734087181e-01,2.857580949089e-07,8.977734087181e-01,0.000000000000e+00,3.775917384319e-07,0.000000000000e+00
17,0.000000000000e+00,3.025187584882e-07,8.999076213336e-01,2.280678661482e-07,8.999076213336e-01,0.000000000000e+00,3.025187584882e-07,0.000000000000e+00
18,0.000000000000e+00,2.684035921297e-07,9.044338229851e-01,2.034027299924e-07,9.044338229851e-01,0.000000000000e+00,2.684035921297e-07,0.000000000000e+00
19,0.000000000000e+00,1.136733496221e-07,9.095305098790e-01,1.039618339194e-07,9.095305098790e-01,0.000000000000e+00,1.136733496221e-07,0.000000000000e+00
20,0.000000000000e+00,1.487504108777e-08,9.138985270898e-01,4.077953930093e-08,9.138985270898e-01,0.000000000000e+00,1.487504108777e-08,0.000000000000e+00
21,0.000000000000e+00,-4.753543225711e-09,9.167734724644e-01,3.038883678030e-08,9.167734724644e-01,0.000000000000e+00,-4.753543225711e-09,0.000000000000e+00
22,0.000000000000e+00,-1.538337257578e-08,9.180691549385e-01,2.405068971756e-08,9.180691549385e-01,0.000000000000e+00,-1.538337257578e-08,0.000000000000e+00
23,0.000000000000e+00,-1.600717924877e-08,9.180516732554e-01,2.320423914126e-08,9.180516732554e-01,0.000000000000e+00,-1.600717924877e-08,0.000000000000e+00
24,0.000000000000e+00,-8.629155057172e-09,9.171687516143e-01,2.641763413580e-08,9.171687516143e-01,0.000000000000e+00,-8.629155057172e-09,0.000000000000e+00
25,0.000000000000e+00,2.204511573289e-08,9.159002431623e-01,4.318570884232e-08,9.159002431623e-01,0.000000000000e+00,2.204511573289e-08,0.000000000000e+00
26,0.000000000000e+00,5.725864160588e-08,9.146164022304e-01,6.289686499406e-08,9.146164022304e-01,0.000000000000e+00,5.725864160588e-08,0.000000000000e+00
27,0.000000000000e+00,1.002428454688e-07,9.135512154559e-01,8.621830799305e-08,9.135512154559e-01,0.000000000000e+00,1.002428454688e-07,0.000000000000e+00
28,0.000000000000e+00,1.500478655769e-07,9.127954446167e-01,1.135506730865e-07,9.127954446167e-01,0.000000000000e+00,1.500478655769e-07,0.000000000000e+00
29,0.000000000000e+00,2.001066751189e-07,9.123396053748e-01,1.409480859804e-07,9.123396053748e-01,0.000000000000e+00,2.001066751189e-07,0.000000000000e+00
30,0.000000000000e+00,2.463112305229e-07,9.121101076398e-01,1.681385229380e-07,9.121101076398e-01,0.000000000000e+00,2.463112305229e-07,0.000000000000e+00
31,0.000000000000e+00,2.884846654894e-07,9.120065954121e-01,1.944011299160e-07,9.120065954121e-01,0.000000000000e+00,2.884846654894e-07,0.000000000000e+00
32,0.000000000000e+00,3.218630300061e-07,9.119361769472e-01,2.166596316799e-07,9.119361769472e-01,0.000000000000e+00,3.218630300061e-07,0.000000000000e+00
33,0.000000000000e+00,3.521828335629e-07,9.118312450644e-01,2.391489920539e-07,9.118312450644e-01,0.000000000000e+00,3.521828335629e-07,0.000000000000e+00
34,0.000000000000e+00,3.891518561838e-07,9.116538966792e-01,2.688358723413e-07,9.116538966792e-01,0.000000000000e+00,3.891518561838e-07,0.000000000000e+00
35,0.000000000000e+00,4.182677589837e-07,9.113914904501e-01,2.940644978078e-07,9.113914904501e-01,0.000000000000e+00,4.182677589837e-07,0.000000000000e+00
