step,physical_time,inner_iter,cfl,dt,rho,rhou,rhov,rhoE,residual_l2,residual_linf
1,0.0000000000e+00,3,1.0198,9.615078e-03,6.0428831592e+03,6.6881515519e+05,3.8803956112e+04,6.2896770662e+05,4.5947153101e+05,1.1757787944e+07
2,0.0000000000e+00,3,1.0396,9.801760e-03,4.7306391274e+03,3.0366971833e+05,1.8659482352e+04,4.9379444793e+05,2.9000810759e+05,8.7099974812e+06
3,0.0000000000e+00,3,1.0594,9.988443e-03,3.9916502831e+03,1.9037321370e+05,8.9963389363e+03,4.2123486257e+05,2.3118046918e+05,7.0588035380e+06
4,0.0000000000e+00,3,1.0792,1.017512e-02,3.4914301404e+03,1.3729958836e+05,5.7703291934e+03,3.7198181117e+05,1.9828460076e+05,6.0127046371e+06
5,0.0000000000e+00,3,1.099,1.036181e-02,3.1200478813e+03,1.0594123569e+05,4.2331545897e+03,3.3549590577e+05,1.7593230410e+05,5.2876184904e+06
6,0.0000000000e+00,3,1.1188,1.054849e-02,2.8285475649e+03,8.5173860061e+04,3.3087177879e+03,3.0693788572e+05,1.5928308167e+05,4.7529700750e+06
7,0.0000000000e+00,3,1.1386,1.073517e-02,2.5910936997e+03,7.0448992233e+04,2.6973606342e+03,2.8372185466e+05,1.4618065949e+05,4.3410095176e+06
8,0.0000000000e+00,3,1.1584,1.092185e-02,2.3924879180e+03,5.9505194128e+04,2.2693753857e+03,2.6432849100e+05,1.3548181921e+05,4.0131085696e+06
9,0.0000000000e+00,3,1.1782,1.110854e-02,2.2230805726e+03,5.1082222147e+04,1.9570036834e+03,2.4779623274e+05,1.2651199383e+05,3.7455537787e+06
10,0.0000000000e+00,3,1.198,1.129522e-02,2.0763872739e+03,4.4421206144e+04,1.7216856963e+03,2.3348064531e+05,1.1884204946e+05,3.5229219846e+06
11,0.0000000000e+00,3,1.2178,1.148190e-02,1.9478548258e+03,3.9038045750e+04,1.5400748596e+03,2.2093008711e+05,1.1218315201e+05,3.3347122850e+06
12,0.0000000000e+00,3,1.2376,1.166858e-02,1.8341716134e+03,3.4609638861e+04,1.3972834965e+03,2.0981650094e+05,1.0633215383e+05,3.1735049152e+06
13,0.0000000000e+00,3,1.2574,1.185527e-02,1.7328584005e+03,3.0912299510e+04,1.2833873998e+03,1.9989448798e+05,1.0114102341e+05,3.0338938985e+06
14,0.0000000000e+00,3,1.2772,1.204195e-02,1.6420133288e+03,2.7786402773e+04,1.1915090479e+03,1.9097588054e+05,9.6498687850e+04,2.9118377409e+06
15,0.0000000000e+00,3,1.297,1.222863e-02,1.5601464575e+03,2.5115091017e+04,1.1167137314e+03,1.8291328738e+05,9.2319715669e+04,2.8042478488e+06
16,0.0000000000e+00,3,1.3168,1.241531e-02,1.4860687218e+03,2.2810926565e+04,1.0553476319e+03,1.7558907623e+05,8.8536975638e+04,2.7087184320e+06
17,0.0000000000e+00,3,1.3366,1.260200e-02,1.4188152060e+03,2.0807236466e+04,1.0046276995e+03,1.6890778047e+05,8.5096712194e+04,2.6233439990e+06
18,0.0000000000e+00,3,1.3564,1.278868e-02,1.3575908139e+03,1.9052333471e+04,9.6238089996e+02,1.6279073615e+05,8.1955146907e+04,2.5465927996e+06
19,0.0000000000e+00,3,1.3762,1.297536e-02,1.3017309849e+03,1.7505558446e+04,9.2687494180e+02,1.5717221398e+05,7.9076075751e+04,2.4772170357e+06
20,0.0000000000e+00,3,1.396,1.316205e-02,1.2506727670e+03,1.6134508929e+04,8.9670614333e+02,1.5199657932e+05,7.6429135099e+04,2.4141878880e+06
21,0.0000000000e+00,3,1.4158,1.334873e-02,1.2039332007e+03,1.4913059566e+04,8.7072361258e+02,1.4721617523e+05,7.3988528181e+04,2.3566476436e+06
22,0.0000000000e+00,3,1.4356,1.353542e-02,1.1610929633e+03,1.3819923165e+04,8.4797668087e+02,1.4278972382e+05,7.1732075648e+04,2.3038738380e+06
23,0.0000000000e+00,3,1.4554,1.372210e-02,1.1217838677e+03,1.2837588193e+04,8.2767732815e+02,1.3868110585e+05,6.9640498707e+04,2.2552519954e+06
24,0.0000000000e+00,3,1.4752,1.390879e-02,1.0856792356e+03,1.1951522863e+04,8.0917230999e+02,1.3485842023e+05,6.7696871907e+04,2.2102546178e+06
25,0.0000000000e+00,3,1.495,1.409547e-02,1.0524864404e+03,1.1149571245e+04,7.9192170635e+02,1.3129325326e+05,6.5886201437e+04,2.1684247792e+06
26,0.0000000000e+00,3,1.5148,1.428216e-02,1.0219411059e+03,1.0421489765e+04,7.7548179223e+02,1.2796010681e+05,6.4195097396e+04,2.1293631610e+06
27,0.0000000000e+00,3,1.5346,1.446884e-02,9.9380258143e+02,9.7585876177e+03,7.5949094799e+02,1.2483594753e+05,6.2611517108e+04,2.0927176922e+06
28,0.0000000000e+00,3,1.5544,1.465553e-02,9.6785040502e+02,9.1534450278e+03,7.4365781244e+02,1.2189984948e+05,6.1124562616e+04,2.0581751881e+06
29,0.0000000000e+00,3,1.5742,1.484222e-02,9.4388153340e+02,8.5996905239e+03,7.2775117666e+02,1.1913270877e+05,5.9724319816e+04,2.0254545433e+06
30,0.0000000000e+00,3,1.594,1.502891e-02,9.2170816983e+02,8.0918233438e+03,7.1159131623e+02,1.1651701459e+05,5.8401729861e+04,1.9943011566e+06
31,0.0000000000e+00,3,1.6138,1.521560e-02,9.0115605590e+02,7.6250706939e+03,6.9504256422e+02,1.1403666455e+05,5.7148485831e+04,1.9644823494e+06
32,0.0000000000e+00,3,1.6336,1.540228e-02,8.8206312386e+02,7.1952721665e+03,6.7800697947e+02,1.1167681529e+05,5.5956949397e+04,1.9357836058e+06
33,0.0000000000e+00,3,1.6534,1.558897e-02,8.6427842814e+02,6.7987854751e+03,6.6041899383e+02,1.0942376173e+05,5.4820083561e+04,1.9080055086e+06
34,0.0000000000e+00,3,1.6732,1.577566e-02,8.4766129281e+02,6.4324090524e+03,6.4224092502e+02,1.0726483974e+05,5.3731398486e+04,1.8809612819e+06
35,0.0000000000e+00,3,1.693,1.596235e-02,8.3208062578e+02,6.0933180919e+03,6.2345925173e+02,1.0518834824e+05,5.2684908159e+04,1.8544748730e+06
36,0.0000000000e+00,3,1.7128,1.614905e-02,8.1741436201e+02,5.7790113588e+03,6.0408152830e+02,1.0318348792e+05,5.1675096111e+04,1.8283795216e+06
37,0.0000000000e+00,3,1.7326,1.633574e-02,8.0354900654e+02,5.4872666970e+03,5.8413381808e+02,1.0124031360e+05,5.0696888703e+04,1.8025167735e+06
38,0.0000000000e+00,3,1.7524,1.652243e-02,7.9037925460e+02,5.2161036016e+03,5.6365852099e+02,9.9349698194e+04,4.9745634678e+04,1.7767358985e+06
39,0.0000000000e+00,3,1.7722,1.670912e-02,7.7780767102e+02,4.9637515669e+03,5.4271246035e+02,9.7503305864e+04,4.8817089747e+04,1.7508936678e+06
40,0.0000000000e+00,3,1.792,1.689581e-02,7.6574441486e+02,4.7286231991e+03,5.2136512439e+02,9.5693572167e+04,4.7907405006e+04,1.7248544441e+06
41,0.0000000000e+00,3,1.8118,1.708250e-02,7.5410699731e+02,4.5092912772e+03,4.9969696224e+02,9.3913688962e+04,4.7013118001e+04,1.6984905304e+06
42,0.0000000000e+00,3,1.8316,1.726920e-02,7.4282006159e+02,4.3044691009e+03,4.7779764642e+02,9.2157591673e+04,4.6131145199e+04,1.6716827159e+06
43,0.0000000000e+00,3,1.8514,1.745589e-02,7.3181517680e+02,4.1129936026e+03,4.5576427257e+02,9.0419946811e+04,4.5258774763e+04,1.6443209540e+06
44,0.0000000000e+00,3,1.8712,1.764258e-02,7.2103063560e+02,3.9338108029e+03,4.3369946091e+02,8.8696137555e+04,4.4393658514e+04,1.6163051044e+06
45,0.0000000000e+00,3,1.891,1.782927e-02,7.1041124826e+02,3.7659632552e+03,4.1170938577e+02,8.6982245595e+04,4.3533802145e+04,1.5875456696e+06
46,0.0000000000e+00,3,1.9108,1.801597e-02,6.9990812460e+02,3.6085791961e+03,3.8990175080e+02,8.5275027685e+04,4.2677552897e+04,1.5579644651e+06
47,0.0000000000e+00,3,1.9306,1.820266e-02,6.8947843917e+02,3.4608631770e+03,3.6838380646e+02,8.3571886071e+04,4.1823584264e+04,1.5274951634e+06
48,0.0000000000e+00,3,1.9504,1.838935e-02,6.7908517415e+02,3.3220879614e+03,3.4726047368e+02,8.1870832256e+04,4.0970877429e+04,1.4960836701e+06
49,0.0000000000e+00,3,1.9702,1.857604e-02,6.6869683657e+02,3.1915875275e+03,3.2663265765e+02,8.0170444180e+04,4.0118699491e+04,1.4636882981e+06
50,0.0000000000e+00,3,1.99,1.876274e-02,6.5828715008e+02,3.0687510258e+03,3.0659588514e+02,7.8469817604e+04,3.9266578826e+04,1.4302797256e+06
51,0.0000000000e+00,3,2.0098,1.894943e-02,6.4783472103e+02,2.9530175612e+03,2.8723929517e+02,7.6768512750e+04,3.8414278136e+04,1.3958407359e+06
52,0.0000000000e+00,3,2.0296,1.913612e-02,6.3732268328e+02,2.8438716788e+03,2.6864509066e+02,7.5066497844e+04,3.7561765983e+04,1.3603657541e+06
53,0.0000000000e+00,3,2.0494,1.932281e-02,6.2673832655e+02,2.7408394364e+03,2.5088848590e+02,7.3364091407e+04,3.6709187729e+04,1.3238602081e+06
54,0.0000000000e+00,3,2.0692,1.950951e-02,6.1607271462e+02,2.6434849768e+03,2.3403814169e+02,7.1661905228e+04,3.5856836842e+04,1.2863397491e+06
55,0.0000000000e+00,3,2.089,1.969620e-02,6.0532030149e+02,2.5514074897e+03,2.1815706691e+02,6.9960789957e+04,3.5005127542e+04,1.2478293742e+06
56,0.0000000000e+00,3,2.1088,1.988289e-02,5.9447855332e+02,2.4642384978e+03,2.0330386117e+02,6.8261785096e+04,3.4154569654e+04,1.2083624934e+06
57,0.0000000000e+00,3,2.1286,2.006958e-02,5.8354758415e+02,2.3816393929e+03,1.8953411948e+02,6.6566074829e+04,3.3305746409e+04,1.1679799814e+06
58,0.0000000000e+00,3,2.1484,2.025628e-02,5.7252981304e+02,2.3032991683e+03,1.7690172274e+02,6.4874950841e+04,3.2459295735e+04,1.1267292471e+06
59,0.0000000000e+00,3,2.1682,2.044297e-02,5.6142964906e+02,2.2289322817e+03,1.6545963580e+02,6.3189782861e+04,3.1615895437e+04,1.0846633491e+06
60,0.0000000000e+00,3,2.188,2.062966e-02,5.5025321007e+02,2.1582766382e+03,1.5525972392e+02,6.1511997390e+04,3.0776252473e+04,1.0418401962e+06
61,0.0000000000e+00,3,2.2078,2.081635e-02,5.3900807847e+02,2.0910917558e+03,1.4635107106e+02,5.9843064342e+04,2.9941096185e+04,9.9832182879e+05
62,0.0000000000e+00,3,2.2276,2.100304e-02,5.2770309557e+02,2.0271569806e+03,1.3877645266e+02,5.8184491053e+04,2.9111175234e+04,9.5417369283e+05
